sample_number,cores,matrix_size,time
1,1,4000,37.8285
2,1,4000,37.9137
3,1,4000,37.9931
4,1,4000,37.627
5,1,4000,37.5305
6,1,4000,37.9352
7,1,4000,37.7906
8,1,4000,37.9545
9,1,4000,37.4209
10,1,4000,38.0762
11,1,4000,37.5386
12,1,4000,38.1253
13,1,4000,37.6729
14,1,4000,37.697
15,1,4000,37.5855
16,1,4000,37.9819
17,1,4000,37.4398
18,1,4000,37.8916
19,1,4000,37.505
20,1,4000,37.6715
21,1,4000,37.5994
22,1,4000,37.417
23,1,4000,37.4179
24,1,4000,37.1827
25,1,4000,37.3389
26,1,4000,37.0452
27,1,4000,37.3549
28,1,4000,37.5121
29,1,4000,37.1123
30,1,4000,37.5591
31,1,4000,37.0243
32,1,4000,37.3788
33,1,4000,36.8698
34,1,4000,36.9586
35,1,4000,36.9897
36,1,4000,37.0682
37,1,4000,37.0528
38,1,4000,37.0975
39,1,4000,37.3639
40,1,4000,37.2053
41,1,4000,37.3453
42,1,4000,36.926
43,1,4000,36.8747
44,1,4000,37.116
45,1,4000,37.5837
46,1,4000,36.923
47,1,4000,37.2248
48,1,4000,36.982
49,1,4000,37.1209
50,1,4000,37.1255
